Country,Regime type,EU?
Canada,Full democracy,FALSE
United States,Flawed democracy,FALSE
Austria,Full democracy,TRUE
Belgium,Flawed democracy,TRUE
Cyprus,Flawed democracy,TRUE
Denmark,Full democracy,TRUE
Finland,Full democracy,TRUE
France,Flawed democracy,TRUE
Germany,Full democracy,TRUE
Greece,Flawed democracy,TRUE
Iceland,Full democracy,FALSE
Ireland,Full democracy,TRUE
Italy,Flawed democracy,TRUE
Luxembourg,Full democracy,TRUE
Malta,Flawed democracy,TRUE
Netherlands,Full democracy,TRUE
Norway,Full democracy,FALSE
Portugal,Flawed democracy,TRUE
Spain,Flawed democracy,TRUE
Sweden,Full democracy,TRUE
Switzerland,Full democracy,FALSE
Turkey,Hybrid regime,FALSE
United Kingdom,Full democracy,FALSE
Albania,Flawed democracy,FALSE
Armenia,Hybrid regime,FALSE
Azerbaijan,Authoritarian,FALSE
Belarus,Authoritarian,FALSE
Bosnia and Herzegovina,Hybrid regime,FALSE
Bulgaria,Flawed democracy,TRUE
Croatia,Flawed democracy,TRUE
Czechia,Flawed democracy,TRUE
Estonia,Flawed democracy,TRUE
Georgia,Hybrid regime,FALSE
Hungary,Flawed democracy,TRUE
Kazakhstan,Authoritarian,FALSE
Kyrgyzstan,Authoritarian,FALSE
Latvia,Flawed democracy,TRUE
Lithuania,Flawed democracy,TRUE
Moldova,Flawed democracy,FALSE
Montenegro,Flawed democracy,FALSE
North Macedonia,Flawed democracy,FALSE
Poland,Flawed democracy,TRUE
Romania,Flawed democracy,TRUE
Russia,Authoritarian,FALSE
Serbia,Flawed democracy,FALSE
Slovakia,Flawed democracy,TRUE
Slovenia,Flawed democracy,TRUE
Tajikistan,Authoritarian,FALSE
Turkmenistan,Authoritarian,FALSE
Ukraine,Hybrid regime,FALSE
Uzbekistan,Authoritarian,FALSE
Argentina,Flawed democracy,FALSE
Bolivia,Hybrid regime,FALSE
Brazil,Flawed democracy,FALSE
Chile,Flawed democracy,FALSE
Colombia,Flawed democracy,FALSE
Costa Rica,Full democracy,FALSE
Cuba,Authoritarian,FALSE
Dominican Republic,Flawed democracy,FALSE
Ecuador,Hybrid regime,FALSE
El Salvador,Hybrid regime,FALSE
Guatemala,Hybrid regime,FALSE
Guyana,Flawed democracy,FALSE
Haiti,Authoritarian,FALSE
Honduras,Hybrid regime,FALSE
Jamaica,Flawed democracy,FALSE
Mexico,Hybrid regime,FALSE
Nicaragua,Authoritarian,FALSE
Panama,Flawed democracy,FALSE
Paraguay,Hybrid regime,FALSE
Peru,Flawed democracy,FALSE
Suriname,Flawed democracy,FALSE
Trinidad and Tobago,Flawed democracy,FALSE
Uruguay,Full democracy,FALSE
Venezuela,Authoritarian,FALSE
Afghanistan,Authoritarian,FALSE
Australia,Full democracy,FALSE
Bangladesh,Hybrid regime,FALSE
Bhutan,Hybrid regime,FALSE
