,iso_code,country,EU?,count,total_capacity_gw,max_capacity_mw,count_distinct_fuel,count_distinct_name,count_distinct_owner,count_distinct_source,count_fuel_coal,capacity_gw_fuel_coal,count_fuel_gas,capacity_gw_fuel_gas,count_fuel_oil,capacity_gw_fuel_oil,count_fuel_petcoke,capacity_gw_fuel_petcoke,count_fuel_hydro,capacity_gw_fuel_hydro,count_fuel_nuclear,capacity_gw_fuel_nuclear,count_fuel_wind,capacity_gw_fuel_wind,count_fuel_solar,capacity_gw_fuel_solar,count_fuel_geothermal,capacity_gw_fuel_geothermal,count_fuel_biomass,capacity_gw_fuel_biomass,count_fuel_cogeneration,capacity_gw_fuel_cogeneration,count_fuel_waste,capacity_gw_fuel_waste,count_fuel_wave_and_tidal,capacity_gw_fuel_wave_and_tidal,count_fuel_storage,capacity_gw_fuel_storage,count_fuel_other,capacity_gw_fuel_other,count_null_name,count_null_gppd_idnr,count_null_capacity_mw,count_null_year_of_capacity_data,count_null_owner,count_null_source,count_null_url,count_null_latitude,count_null_longitude,count_null_fuel,count_wepp_id,capacity_gw_wepp_id,count_null_generation_gwh_all,count_generation_gwh_2013,count_generation_gwh_2014,count_generation_gwh_2015,count_generation_gwh_2016,count_generation_gwh_2017,count_generation_gwh_2018,count_generation_gwh_2019,count_generation_data_source,count_estimated_generation_gwh
0,AFG,Afghanistan,False,9,0.30055,100.0,3.0,9.0,1.0,2.0,0.0,0.0,1.0,0.042,0.0,0.0,0.0,0.0,6.0,0.23855,0.0,0.0,0.0,0.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.23255,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ALB,Albania,False,8,1.529,600.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.098,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2,DZA,Algeria,False,59,15.8738,1200.0,4.0,59.0,12.0,2.0,0.0,0.0,31.0,15.179,12.0,6.074,0.0,0.0,1.0,0.024,0.0,0.0,0.0,0.0,28.0,0.8208000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
3,ASM,American Samoa,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AGO,Angola,False,14,1.0711799999999998,520.0,3.0,14.0,1.0,1.0,0.0,0.0,3.0,0.16368,6.0,0.1369,0.0,0.0,5.0,0.7706000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.83724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
5,ATA,Antarctica,False,2,0.0076,6.6,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0076,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ATG,Antigua and Barbuda,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ARG,Argentina,False,236,32.913079,1982.2,8.0,236.0,78.0,2.0,14.0,7.45628,64.0,17.404600000000002,102.0,1.4652189999999998,0.0,0.0,53.0,10.012402,3.0,1.763,12.0,0.21168,7.0,0.5157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.7712,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,23.463287000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0
8,ARM,Armenia,False,8,3.271,1110.0,3.0,8.0,6.0,2.0,0.0,0.0,3.0,1.931,0.0,0.0,0.0,0.0,4.0,0.965,1.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
9,ABW,Aruba,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AUS,Australia,False,486,65.85201600000002,2640.0,8.0,485.0,197.0,2.0,28.0,25.543,134.0,20.011720000000004,42.0,1.0995699999999995,0.0,0.0,73.0,8.5213,0.0,0.0,65.0,5.73863,69.0,4.15967,0.0,0.0,25.0,0.5895,0.0,0.0,50.0,0.188626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,53.96519600000001,1.0,217.0,229.0,239.0,247.0,242.0,250.0,0.0,269.0,257.0
11,AUT,Austria,True,103,11.2271,1272.0,3.0,103.0,5.0,5.0,0.0,0.0,3.0,2.067,0.0,0.0,0.0,0.0,96.0,9.0721,0.0,0.0,4.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,7.729,0.0,0.0,0.0,21.0,19.0,19.0,0.0,0.0,21.0,103.0
