freq,plants,operator,nrg_bal,siec,unit,Alpha_2_code,EU?,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,CHP,PRR_AUTO,GEP,CF,GWH,AL,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,AT,TRUE,3025000,3888000,4037000,3311000,3618000,3699000,2396000,2722000,2542000,2794000,3137000,3935000,4632000,4124000,3682000,3841806,4262980,4455815,4461044,4154805,4919057,5209027,4690911,4453396,4067491,4142426,4331098,4536887,4108578,4170416,4037880
A,CHP,PRR_AUTO,GEP,CF,GWH,BA,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,29000
A,CHP,PRR_AUTO,GEP,CF,GWH,BE,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,96000,98000,85000,1421000,1329000,1188000,1226000,1466000,1504800,1516200,1951900,2809600,3961800,5238300,5441300,6023200,6161500,6429000,6476100,6820600,7589700,7728100,9114800,9366900
A,CHP,PRR_AUTO,GEP,CF,GWH,BG,TRUE,3882000,2995000,3708000,3122000,2917000,2824000,2820000,2350000,2226000,2130000,1845000,1711000,1425000,1937000,1525000,1481000,1580000,1790000,847000,189000,228000,124000,255000,251000,233000,360000,399000,583165,637454,636997,650121
A,CHP,PRR_AUTO,GEP,CF,GWH,CY,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,8000,24000,28000,32000,65000,65000,69000,66000,50000,49000,45000,38000,37000,38000,40524,43707,43736,45608
A,CHP,PRR_AUTO,GEP,CF,GWH,CZ,TRUE,6627000,6426000,6396000,6147000,5706000,5635000,6415000,6506000,6567000,6487000,9190000,8642000,8206000,8299000,8614000,8888000,8925000,7971000,8397000,7708000,7533000,7260000,7334000,7956000,8441000,8566000,8738000,8395537,8166103,8043096,7276411
A,CHP,PRR_AUTO,GEP,CF,GWH,DE,TRUE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,24377000,23649000,25948000,26272000,26874000,27069000,27816000,31211000,29854000,29841000,30456000,31149000,34845000,37139000,39015000,35002000,34872000,34168000
A,CHP,PRR_AUTO,GEP,CF,GWH,DK,TRUE,581000,630000,743000,804000,984000,1209000,1669000,1880000,2196000,2661000,2787000,2640000,2653000,2744000,2725000,2874000,2584000,2357000,2293000,2096000,2276091,2144171,1940308,1908606,2005979,2188307,2033243,2078378,2143170,2238200,2236964
A,CHP,PRR_AUTO,GEP,CF,GWH,EA19,FALSE,49141000,50818000,55468000,57497000,66296000,70477000,76925000,94988000,103059000,113422000,70319549,74090399,79669809,121148871,122888598,126967417,128392759,133535515,136121115,131628121,142587846,148060650,141810107,144049568,134447793,145147369,146793211,155630226,156963145,160131401,156559544
A,CHP,PRR_AUTO,GEP,CF,GWH,EE,TRUE,154000,136000,70000,39000,127000,161000,171000,117000,126000,70000,106000,123000,171000,150000,132000,115000,111000,128000,95000,74000,89000,88000,77000,70000,42000,64916,73306,74128,93530,69286,102955
A,CHP,PRR_AUTO,GEP,CF,GWH,EL,TRUE,875000,934000,927000,845000,819000,874000,896000,969000,908000,925000,1014000,913000,1032000,1028000,985000,1062000,1003000,898000,1311000,1958000,2492000,2553000,2349000,1884000,1792000,2339000,1946000,1909845,2183432,2456144,2687361
A,CHP,PRR_AUTO,GEP,CF,GWH,ES,TRUE,2886000,2663000,3300000,3876000,7348000,9204000,13100000,19134000,22241000,27774000,26145000,28226000,31541000,31659000,33502000,33707000,31743000,31070000,31640000,31532000,29055000,31122000,32204000,34699000,27927000,29483000,29809000,32018000,32895000,33662000,31110000
A,CHP,PRR_AUTO,GEP,CF,GWH,EU27_2020,FALSE,72521000,73014000,80443000,82369000,90659000,94765000,102428000,119993000,127304000,137592000,97477549,101030399,106797809,149392871,151465598,155834417,157430759,162204515,164070115,156555121,169917937,175078821,169096415,171374174,162037772,173596676,175875454,186747668,190674968,196769350,192496481
A,CHP,PRR_AUTO,GEP,CF,GWH,FI,TRUE,7812000,7405000,8228000,9265000,10111000,10137000,10261000,11601000,12686000,11962000,9843000,9348000,9560000,9477000,9844000,8911000,9957000,10003000,9625000,8092000,9100000,8639000,7953000,8121000,8449000,8123000,7694000,7972000,8510000,8722000,7710000
A,CHP,PRR_AUTO,GEP,CF,GWH,FR,TRUE,1156000,1324000,1336000,1179000,1344000,2059000,2181000,2541000,2442000,2309000,10157000,11344000,12288000,13055000,13564000,13509000,12706000,12888000,11759000,5779000,5327000,8556945,8016204,8492074,8167550,8982664,8977148,9433448,9499370,10104447,9701134
A,CHP,PRR_AUTO,GEP,CF,GWH,GE,FALSE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,HR,TRUE,593000,481000,463000,531000,510000,578000,545000,479000,492000,529000,551000,490000,532000,580000,535000,506000,476000,513000,460000,400000,447000,512000,383000,327000,338000,310000,331000,414200,366700,369500,399200
A,CHP,PRR_AUTO,GEP,CF,GWH,HU,TRUE,852000,831000,802000,772000,659000,641000,714000,840000,507000,438000,494000,468000,401000,376000,402000,409000,356000,332000,381000,352000,416000,610000,453000,487000,497000,536000,624000,806000,851000,914000,889000
A,CHP,PRR_AUTO,GEP,CF,GWH,IE,TRUE,195000,187000,196000,205000,222000,237000,235000,290000,412000,381000,579000,579000,629000,634000,668000,629892,1590037,1822549,1878857,1832593,1946361,1963134,2126349,2056659,2071680,2157494,2198750,2191377,2152838,2084218,2100315
A,CHP,PRR_AUTO,GEP,CF,GWH,IS,FALSE,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
A,CHP,PRR_AUTO,GEP,CF,GWH,IT,TRUE,15890000,17436000,19167000,22356000,25713000,27976000,31201000,39860000,44291000,49562000,0.000 ,0.000 ,0.000 ,16910000,16525000,17440000,16051000,17505000,17008000,18237000,21730000,21769000,14776000,14703000,14406000,17750000,17333000,18735698,21806782,21423857,19346992
